[M] 4x4 x42 137.704s (3532/25.649) solve done at 2025.08.27 05:36:31
```
 Total 	 Time  	Moves	  TPS  
  1.819	  1.819	 62  	 34.084
  4.722	  2.903	 75  	 25.835
  7.708	  2.986	 71  	 23.777
 10.630	  2.922	 73  	 24.982
 12.971	  2.341	 65  	 27.765
 16.131	  3.160	 77  	 24.367
 20.339	  4.208	 114 	 27.091
 23.522	  3.183	 71  	 22.306
 26.917	  3.395	 91  	 26.804
 30.226	  3.309	 93  	 28.105
 33.259	  3.033	 76  	 25.057
 36.761	  3.502	 80  	 22.844
 39.623	  2.862	 68  	 23.759
 43.109	  3.486	 86  	 24.670
 47.442	  4.333	 104 	 24.001
 51.269	  3.827	 100 	 26.130
 55.696	  4.427	 104 	 23.492
 58.452	  2.756	 74  	 26.850
 61.549	  3.097	 70  	 22.602
 63.807	  2.258	 63  	 27.900
 67.388	  3.581	 95  	 26.528
 71.408	  4.020	 106 	 26.368
 75.444	  4.036	 104 	 25.768
 77.928	  2.484	 59  	 23.752
 80.995	  3.067	 67  	 21.845
 84.463	  3.468	 86  	 24.798
 87.410	  2.947	 82  	 27.824
 89.778	  2.368	 63  	 26.604
 92.979	  3.201	 88  	 27.491
 95.944	  2.965	 86  	 29.005
 99.636	  3.692	 95  	 25.731
103.839	  4.203	 97  	 23.078
107.101	  3.262	 91  	 27.896
110.700	  3.599	 100 	 27.785
114.154	  3.454	 97  	 28.083
118.481	  4.327	 118 	 27.270
121.169	  2.688	 80  	 29.761
124.772	  3.603	 90  	 24.979
127.909	  3.137	 75  	 23.908
131.384	  3.475	 90  	 25.899
134.101	  2.717	 65  	 23.923
137.704	  3.603	 81  	 22.481
```
