[M] 4x4 x20 63.677s (1607/25.236) solve done at 2025.08.28 03:08:14
```
 Total 	 Time  	Moves	  TPS  
  1.995	  1.995	 63  	 31.578
  5.069	  3.074	 80  	 26.024
  7.661	  2.592	 71  	 27.391
 11.480	  3.819	 92  	 24.090
 14.928	  3.448	 83  	 24.071
 18.234	  3.306	 70  	 21.173
 21.983	  3.749	 105 	 28.007
 25.605	  3.622	 94  	 25.952
 28.664	  3.059	 73  	 23.864
 31.327	  2.663	 67  	 25.159
 34.410	  3.083	 75  	 24.326
 37.815	  3.405	 78  	 22.907
 41.250	  3.435	 90  	 26.200
 43.591	  2.341	 56  	 23.921
 47.225	  3.634	 81  	 22.289
 50.952	  3.727	 91  	 24.416
 54.921	  3.969	 109 	 27.462
 57.912	  2.991	 77  	 25.743
 61.262	  3.350	 97  	 28.955
 63.677	  2.415	 55  	 22.774
```
