[M] 3x3 x100 121.630s (2830/23.267) solve done at 2026.02.25 09:22:12
```
 Total 	 Time  	Moves	  TPS  
  0.712	  0.712	 28  	 39.325
  1.653	  0.941	 23  	 24.442
  2.456	  0.803	 15  	 18.679
  3.476	  1.020	 22  	 21.568
  4.810	  1.334	 35  	 26.236
  6.025	  1.215	 27  	 22.222
  7.063	  1.038	 22  	 21.194
  8.843	  1.780	 40  	 22.471
  9.794	  0.951	 17  	 17.875
 10.887	  1.093	 29  	 26.532
 11.905	  1.018	 21  	 20.628
 14.335	  2.430	 58  	 23.868
 15.505	  1.170	 28  	 23.931
 16.678	  1.173	 30  	 25.575
 17.864	  1.186	 27  	 22.765
 18.994	  1.130	 26  	 23.008
 19.951	  0.957	 21  	 21.943
 21.489	  1.538	 35  	 22.756
 24.724	  3.235	 62  	 19.165
 25.636	  0.912	 21  	 23.026
 26.843	  1.207	 24  	 19.884
 27.887	  1.044	 26  	 24.904
 28.847	  0.960	 22  	 22.916
 29.858	  1.011	 26  	 25.717
 31.006	  1.148	 32  	 27.874
 31.977	  0.971	 22  	 22.657
 33.222	  1.245	 34  	 27.309
 34.425	  1.203	 29  	 24.106
 35.560	  1.135	 26  	 22.907
 37.323	  1.763	 44  	 24.957
 38.095	  0.772	 14  	 18.134
 39.454	  1.359	 35  	 25.754
 40.716	  1.262	 30  	 23.771
 41.953	  1.237	 27  	 21.827
 42.829	  0.876	 18  	 20.547
 43.869	  1.040	 27  	 25.961
 45.060	  1.191	 29  	 24.349
 46.519	  1.459	 32  	 21.932
 48.257	  1.738	 46  	 26.467
 49.609	  1.352	 31  	 22.928
 50.857	  1.248	 27  	 21.634
 52.205	  1.348	 35  	 25.964
 53.104	  0.899	 18  	 20.022
 54.969	  1.865	 40  	 21.447
 56.074	  1.105	 28  	 25.339
 57.368	  1.294	 31  	 23.956
 58.800	  1.432	 36  	 25.139
 60.131	  1.331	 24  	 18.031
 61.332	  1.201	 32  	 26.644
 62.286	  0.954	 19  	 19.916
 63.556	  1.270	 25  	 19.685
 64.707	  1.151	 30  	 26.064
 65.885	  1.178	 27  	 22.920
 66.926	  1.041	 26  	 24.975
 67.750	  0.824	 18  	 21.844
 68.593	  0.843	 18  	 21.352
 70.062	  1.469	 36  	 24.506
 71.426	  1.364	 29  	 21.260
 72.518	  1.092	 26  	 23.809
 73.428	  0.910	 17  	 18.681
 74.426	  0.998	 25  	 25.050
 75.868	  1.442	 37  	 25.658
 76.914	  1.046	 22  	 21.032
 78.279	  1.365	 34  	 24.908
 79.257	  0.978	 21  	 21.472
 80.272	  1.015	 23  	 22.660
 81.562	  1.290	 27  	 20.930
 82.601	  1.039	 21  	 20.211
 84.219	  1.618	 42  	 25.957
 85.514	  1.295	 29  	 22.393
 86.238	  0.724	 12  	 16.574
 87.462	  1.224	 26  	 21.241
 88.426	  0.964	 20  	 20.746
 89.576	  1.150	 26  	 22.608
 90.803	  1.227	 34  	 27.709
 92.319	  1.516	 26  	 17.150
 93.825	  1.506	 39  	 25.896
 94.864	  1.039	 20  	 19.249
 95.999	  1.135	 24  	 21.145
 96.927	  0.928	 22  	 23.706
 98.249	  1.322	 31  	 23.449
 99.627	  1.378	 30  	 21.770
100.658	  1.031	 24  	 23.278
101.751	  1.093	 21  	 19.213
103.005	  1.254	 29  	 23.125
105.006	  2.001	 53  	 26.486
106.072	  1.066	 24  	 22.514
108.005	  1.933	 48  	 24.831
109.338	  1.333	 31  	 23.255
110.372	  1.034	 22  	 21.276
111.549	  1.177	 28  	 23.789
112.753	  1.204	 34  	 28.239
113.808	  1.055	 26  	 24.644
114.396	  0.588	 14  	 23.809
115.358	  0.962	 26  	 27.027
116.606	  1.248	 33  	 26.442
117.751	  1.145	 29  	 25.327
118.529	  0.778	 18  	 23.136
120.112	  1.583	 39  	 24.636
